UPRN,Site Name,Address,Easting,Northing,Ward,Holding Type,Tenure,Operational Status,GIA,Lease Information,Site Function,Sub Function,Function Detail,waterfront_properties,floor_space,built,price
4239757,Site C,"4 High St, Salford",394221.1595,313217.899,Ward 2,Leasehold,Short-term,Non-Operational,154.3919651,Lease 2,Residential,Function 2,Detail 3,0,77.3001977,1933,456950.1189
1414153,Site B,"40 Main St, Bolton",339426.3547,304875.9181,Ward 3,Freehold,Long-term,Non-Operational,200.3278379,Lease 3,Industrial,Function 3,Detail 3,0,118.9025339,1998,302839.0894
9145127,Site D,"984 Church St, Manchester",361112.7781,347744.4505,Ward 3,Freehold,Long-term,Operational,304.312745,Lease 3,Residential,Function 1,Detail 2,1,90.84718437,1954,328129.1625
3366601,Site E,"344 Church St, Manchester",354468.7212,343757.2829,Ward 5,Freehold,Long-term,Non-Operational,474.7948703,Lease 2,Industrial,Function 3,Detail 3,1,111.1100931,1909,264613.9768
2009013,Site E,"164 High St, Stockport",356600.1459,325651.2849,Ward 3,Freehold,Long-term,Operational,308.380849,Lease 1,Industrial,Function 3,Detail 3,0,74.00961599,1943,420646.0423
3119092,Site A,"353 Main St, Stockport",386737.6213,359051.5601,Ward 1,Freehold,Long-term,Operational,344.2193355,Lease 1,Industrial,Function 3,Detail 3,0,96.75874913,1970,373398.5931
4865094,Site A,"82 Main St, Salford",373633.6772,325017.5778,Ward 3,Leasehold,Long-term,Non-Operational,314.2831118,Lease 3,Residential,Function 3,Detail 2,1,72.30722313,1949,311254.0894
5238450,Site A,"991 Church St, Bury",376978.6412,321632.1008,Ward 5,Leasehold,Short-term,Operational,88.27248414,Lease 2,Industrial,Function 2,Detail 2,0,92.18827161,1974,418582.1062
8857243,Site B,"709 Broadway, Salford",309003.7505,362221.7998,Ward 3,Freehold,Long-term,Non-Operational,185.5344806,Lease 2,Residential,Function 3,Detail 3,0,105.9062739,2010,340568.5106
3084433,Site B,"655 Broadway, Bolton",314670.7469,394494.2263,Ward 1,Leasehold,Long-term,Non-Operational,466.4193844,Lease 3,Residential,Function 3,Detail 3,1,97.62758214,1924,272397.8284
8597580,Site E,"562 Broadway, Manchester",366330.4618,320277.4507,Ward 3,Freehold,Short-term,Non-Operational,156.6361973,Lease 1,Commercial,Function 3,Detail 2,0,99.58066619,2021,373738.2348
3171475,Site A,"551 Church St, Stockport",354045.7785,318282.2234,Ward 5,Leasehold,Long-term,Non-Operational,235.990398,Lease 2,Industrial,Function 3,Detail 2,0,83.02750391,1953,266153.0296
7357003,Site C,"375 High St, Stockport",377427.832,351935.0291,Ward 1,Freehold,Short-term,Operational,311.8573275,Lease 3,Residential,Function 1,Detail 2,0,93.8246125,2007,365589.5015
9923031,Site D,"678 Church St, Stockport",309307.332,311943.8141,Ward 5,Freehold,Short-term,Non-Operational,389.4162853,Lease 3,Industrial,Function 2,Detail 3,1,119.9324127,1908,483819.4728
